DATE,CALOSA7POP,LAUCN060370000000003A,MHICA06037A052NCEN
1970-01-01,7041.982,,
1971-01-01,7103.600,,
1972-01-01,7056.600,,
1973-01-01,7040.400,,
1974-01-01,7085.800,,
1975-01-01,7116.800,,
1976-01-01,7211.700,,
1977-01-01,7251.600,,
1978-01-01,7351.700,,
1979-01-01,7401.000,,
1980-01-01,7477.239,,
1981-01-01,7608.796,,
1982-01-01,7767.422,,
1983-01-01,7920.955,,
1984-01-01,8041.685,,
1985-01-01,8182.906,,
1986-01-01,8393.640,,
1987-01-01,8553.844,,
1988-01-01,8667.680,,
1989-01-01,8793.710,,31123
1990-01-01,8878.157,5.9,#N/A
1991-01-01,8948.125,8.0,#N/A
1992-01-01,9055.424,9.8,#N/A
1993-01-01,9100.159,10.0,32689
1994-01-01,9096.608,9.2,#N/A
1995-01-01,9089.015,8.1,33828
1996-01-01,9127.042,8.2,#N/A
1997-01-01,9206.538,6.9,36441
1998-01-01,9313.589,6.5,37655
1999-01-01,9437.290,5.9,38900
2000-01-01,9542.100,5.4,42045
2001-01-01,9633.710,5.7,41573
2002-01-01,9717.836,6.8,41506
2003-01-01,9781.839,7.0,41544
2004-01-01,9808.353,6.5,43518
2005-01-01,9802.296,5.3,48166
2006-01-01,9755.937,4.8,51279
2007-01-01,9727.968,5.1,53494
2008-01-01,9771.522,7.5,55452
2009-01-01,9831.945,11.7,54375
2010-01-01,9821.647,12.6,52595
2011-01-01,9873.700,12.2,52239
2012-01-01,9931.394,11.0,52929
2013-01-01,9987.189,9.8,54443
2014-01-01,10033.449,8.2,55686
2015-01-01,10077.263,6.7,59045
2016-01-01,10094.865,5.3,61308
2017-01-01,10092.365,4.8,64912
2018-01-01,10061.533,4.6,67986
2019-01-01,10011.602,4.4,72721
2020-01-01,9989.165,12.3,75624
2021-01-01,9829.544,8.9,77356
