Median Price (existing single-family detached homes only) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Note,Sales for California are seasonally adjusted and annualized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LA Metro is a 5-county region that includes Los Angeles County, Orange County, Riverside County, San Bernardino County, and Ventura County",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inland Empire includes Riverside County and San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"S.F. Bay Area has been redefined to include the following counties: Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Solano, and Sonoma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-90,"$194,952","$226,149",NA,"$102,143",NA,NA,NA,NA,"$82,083",NA,"$79,642","$85,892",NA,NA,NA,"$215,338",NA,"$346,153",NA,"$140,000","$83,889","$93,291","$233,333","$178,888",NA,"$231,274","$182,220",NA,"$136,832","$123,000",NA,"$128,806","$180,484","$287,499","$105,000","$227,522",NA,"$273,071","$271,840","250,000",NA,NA,NA,"$174,022",NA,NA,NA,"$86,999",NA,"$250,410",NA,NA,,"$141,519","$203,390",NA,NA,NA,NA,"$227,366",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-90,"$196,273","$219,306",NA,"$83,333",NA,NA,NA,NA,"$87,187",NA,"$83,571","$80,294",NA,NA,NA,"$208,399",NA,"$338,333",NA,"$116,666","$77,499",NA,"$187,856","$186,363",NA,"$233,656","$182,630",NA,"$136,021","$126,900",NA,"$124,545","$180,714","$300,877","$102,500","$236,377",NA,"$259,668","$273,100","261,607",NA,NA,NA,"$180,294",NA,NA,NA,"$84,375",NA,"$235,760",NA,NA,,"$144,965","$211,024",NA,NA,NA,NA,"$234,739",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-90,"$194,856","$225,162",NA,"$100,000",NA,NA,NA,NA,"$83,889",NA,"$88,888","$87,758",NA,NA,NA,"$208,135",NA,"$358,571",NA,"$111,428","$85,909",NA,"$230,555","$180,000",NA,"$242,312","$179,470",NA,"$135,835","$127,500",NA,"$127,017","$183,701","$290,151","$117,692","$216,010",NA,"$253,301","$275,500","260,577",NA,NA,NA,"$178,823",NA,NA,NA,"$84,210",NA,"$240,320",NA,NA,,"$141,132","$209,286",NA,NA,NA,NA,"$235,337",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-90,"$196,111","$229,333",NA,"$108,000",NA,NA,NA,NA,"$85,428",NA,"$83,500","$80,323",NA,NA,NA,"$219,004",NA,"$359,574",NA,"$133,333","$84,285",NA,"$238,095","$158,571",NA,"$239,380","$200,000",NA,"$134,629","$135,500",NA,"$131,485","$181,567","$288,725","$112,692","$189,246",NA,"$217,363","$274,660","255,263",NA,NA,NA,"$184,117",NA,NA,NA,"$88,928",NA,"$230,620",NA,NA,,"$145,707","$210,302",NA,NA,NA,NA,"$233,178",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-90,"$195,281","$232,291",NA,"$100,000",NA,NA,NA,NA,"$88,749",NA,"$79,062","$86,562",NA,NA,NA,"$209,065",NA,"$374,999",NA,"$138,749","$100,000",NA,"$259,375","$187,692",NA,"$256,401","$194,610",NA,"$140,823","$138,000",NA,"$130,538","$180,794","$282,626","$112,778","$199,325",NA,"$227,609","$266,670","262,500",NA,NA,NA,"$185,844",NA,NA,NA,"$85,999",NA,"$235,320",NA,NA,,"$146,060","$210,148",NA,NA,NA,NA,"$235,881",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
