Series ID,Year,Period,Label,Value
LNS11300000,2020,M01,2020 Jan,63.4
LNS11300000,2020,M02,2020 Feb,63.4
LNS11300000,2020,M03,2020 Mar,62.7
LNS11300000,2020,M04,2020 Apr,60.2
LNS11300000,2020,M05,2020 May,60.8
LNS11300000,2020,M06,2020 Jun,61.4
LNS11300000,2020,M07,2020 Jul,61.5
LNS11300000,2020,M08,2020 Aug,61.7
LNS11300000,2020,M09,2020 Sep,61.4
LNS11300000,2020,M10,2020 Oct,61.6
LNS11300000,2020,M11,2020 Nov,61.5
LNS11300000,2020,M12,2020 Dec,61.5
LNS11300000,2021,M01,2021 Jan,61.4
LNS11300000,2021,M02,2021 Feb,61.5
LNS11300000,2021,M03,2021 Mar,61.5
LNS11300000,2021,M04,2021 Apr,61.7
LNS11300000,2021,M05,2021 May,61.6
LNS11300000,2021,M06,2021 Jun,61.6
LNS11300000,2021,M07,2021 Jul,61.7
LNS11300000,2021,M08,2021 Aug,61.7
LNS11300000,2021,M09,2021 Sep,61.7
LNS11300000,2021,M10,2021 Oct,61.7
LNS11300000,2021,M11,2021 Nov,61.9
LNS11300000,2021,M12,2021 Dec,61.9
LNS11300000,2022,M01,2022 Jan,62.2
LNS11300000,2022,M02,2022 Feb,62.3
LNS11300000,2022,M03,2022 Mar,62.4
LNS11300000,2022,M04,2022 Apr,62.2
LNS11300000,2022,M05,2022 May,62.3
LNS11300000,2022,M06,2022 Jun,62.2
LNS11300000,2022,M07,2022 Jul,62.1
LNS11300000,2022,M08,2022 Aug,62.4
LNS11300000,2022,M09,2022 Sep,62.3
LNS11300000,2022,M10,2022 Oct,62.2
LNS11300000,2022,M11,2022 Nov,62.1
