First Time Buyer Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTR,CA,US,Alameda,Amador,Butte,Calaveras,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa And Tuolumne,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne County,Ventura,Yolo,Yuba,,,,,,
2000.1,55%,71%,NA,NA,NA,NA,NA,NA,NA,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2000.2,51%,69%,NA,NA,NA,NA,NA,NA,NA,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2000.3,50%,68%,NA,NA,NA,NA,NA,NA,NA,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2000.4,50%,70%,NA,NA,NA,NA,NA,NA,NA,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2001.1,54%,72%,NA,NA,NA,NA,NA,NA,NA,72%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2001.2,55%,72%,NA,NA,NA,NA,NA,NA,NA,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2001.3,54%,73%,NA,NA,NA,NA,NA,NA,NA,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2001.4,57%,75%,NA,NA,NA,NA,NA,NA,NA,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2002.1,54%,75%,NA,NA,NA,NA,NA,NA,NA,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2002.2,52%,75%,NA,NA,NA,NA,NA,NA,NA,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2002.3,54%,75%,NA,NA,NA,NA,NA,NA,NA,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2002.4,53%,76%,NA,NA,NA,NA,NA,NA,NA,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2003.1,54%,76%,40%,NA,NA,NA,31%,NA,NA,68%,NA,NA,NA,NA,NA,NA,50%,NA,31%,NA,NA,54%,NA,NA,NA,NA,43%,NA,NA,56%,63%,NA,67%,42%,47%,NA,37%,35%,38%,48%,34%,NA,NA,NA,41%,NA,NA,NA,NA,NA,54%,NA,NA,,,,,,
2003.2,51%,75%,40%,NA,NA,NA,27%,NA,NA,67%,NA,NA,NA,NA,NA,NA,48%,NA,32%,NA,NA,53%,NA,NA,NA,NA,42%,NA,NA,54%,62%,NA,66%,41%,43%,NA,37%,34%,33%,49%,36%,NA,NA,NA,39%,NA,NA,NA,NA,NA,48%,NA,NA,,,,,,
2003.3,49%,74%,40%,NA,NA,NA,28%,NA,NA,64%,NA,NA,NA,NA,NA,NA,44%,NA,32%,NA,NA,52%,NA,NA,NA,NA,39%,NA,NA,53%,60%,NA,63%,37%,44%,NA,38%,36%,30%,48%,37%,NA,NA,NA,38%,NA,NA,NA,NA,NA,47%,NA,NA,,,,,,
2003.4,49%,75%,40%,NA,NA,NA,29%,NA,NA,63%,NA,NA,NA,NA,NA,NA,41%,NA,31%,NA,NA,49%,NA,NA,NA,NA,38%,NA,NA,50%,58%,NA,60%,34%,44%,NA,37%,35%,38%,48%,37%,NA,NA,NA,37%,NA,NA,NA,NA,NA,46%,NA,NA,,,,,,
2004.1,48%,76%,38%,NA,NA,NA,28%,NA,NA,61%,NA,NA,NA,NA,NA,NA,42%,NA,32%,NA,NA,52%,NA,NA,NA,NA,35%,NA,NA,46%,56%,NA,59%,32%,43%,NA,38%,35%,32%,48%,34%,NA,NA,NA,36%,NA,NA,NA,NA,NA,43%,NA,NA,,,,,,
2004.2,41%,73%,32%,NA,NA,NA,25%,NA,NA,55%,NA,NA,NA,NA,NA,NA,36%,NA,27%,NA,NA,44%,NA,NA,NA,NA,27%,NA,NA,39%,50%,NA,52%,26%,37%,NA,36%,31%,22%,43%,31%,NA,NA,NA,31%,NA,NA,NA,NA,NA,33%,NA,NA,,,,,,
2004.3,41%,72%,30%,NA,NA,NA,25%,NA,NA,50%,NA,NA,NA,NA,NA,NA,33%,NA,26%,NA,NA,40%,NA,NA,NA,NA,27%,NA,NA,37%,46%,NA,47%,23%,35%,NA,30%,30%,23%,42%,28%,NA,NA,NA,28%,NA,NA,NA,NA,NA,32%,NA,NA,,,,,,
2004.4,40%,71%,28%,NA,NA,NA,25%,NA,NA,50%,NA,NA,NA,NA,NA,NA,31%,NA,26%,NA,NA,36%,NA,NA,NA,NA,28%,NA,NA,36%,43%,NA,45%,24%,34%,NA,28%,30%,18%,41%,28%,NA,NA,NA,26%,NA,NA,NA,NA,NA,34%,NA,NA,,,,,,
2005.1,38%,70%,29%,NA,NA,NA,30%,NA,NA,51%,NA,NA,NA,NA,NA,NA,29%,NA,23%,NA,NA,45%,NA,NA,NA,NA,27%,NA,NA,40%,44%,NA,48%,24%,36%,NA,27%,27%,20%,37%,23%,NA,NA,NA,24%,NA,NA,NA,NA,NA,28%,NA,NA,,,,,,
2005.2,34%,67%,27%,NA,NA,NA,30%,NA,NA,47%,NA,NA,NA,NA,NA,NA,27%,NA,23%,NA,NA,41%,NA,NA,NA,NA,25%,NA,NA,38%,41%,NA,44%,23%,33%,NA,23%,23%,18%,33%,22%,NA,NA,NA,24%,NA,NA,NA,NA,NA,26%,NA,NA,,,,,,
2005.3,32%,65%,27%,NA,NA,NA,30%,NA,NA,45%,NA,NA,NA,NA,NA,NA,23%,NA,23%,NA,NA,36%,NA,NA,NA,NA,24%,NA,NA,37%,40%,NA,42%,22%,33%,NA,21%,24%,18%,33%,21%,NA,NA,NA,24%,NA,NA,NA,NA,NA,26%,NA,NA,,,,,,
2005.4,30%,64%,26%,NA,NA,NA,29%,NA,NA,43%,NA,NA,NA,NA,NA,NA,21%,NA,23%,NA,NA,35%,NA,NA,NA,NA,24%,NA,NA,35%,40%,NA,40%,22%,31%,NA,19%,23%,19%,32%,21%,NA,NA,NA,24%,NA,NA,NA,NA,NA,25%,NA,NA,,,,,,
2006.1,29%,65%,25%,NA,NA,NA,21%,NA,NA,44%,NA,NA,NA,NA,NA,NA,21%,NA,22%,NA,NA,37%,NA,NA,NA,NA,23%,NA,NA,33%,39%,NA,39%,22%,28%,NA,18%,21%,17%,29%,21%,NA,NA,NA,24%,NA,NA,NA,NA,NA,25%,NA,NA,,,,,,
2006.2,26%,63%,23%,NA,NA,NA,15%,NA,NA,42%,NA,NA,NA,NA,NA,NA,19%,NA,21%,NA,NA,36%,NA,NA,NA,NA,21%,NA,NA,32%,38%,NA,38%,21%,24%,NA,17%,19%,14%,25%,19%,NA,NA,NA,23%,NA,NA,NA,NA,NA,23%,NA,NA,,,,,,
